Data File,Dataset Type,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
ufs.cpld.lnd.out.2000-01-02-00000.tile1.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
ufs.cpld.lnd.out.2000-01-02-00000.tile4.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
ufs.cpld.lnd.out.2000-01-02-00000.tile2.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
ufs.cpld.lnd.out.2000-01-02-00000.tile6.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
ufs.cpld.lnd.out.2000-01-02-00000.tile5.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
ufs.cpld.lnd.out.2000-01-02-00000.tile3.nc,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,datm_cdeps_lnd_gswp3,INTEL
C96_grid.tile3.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
C96_grid.tile4.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
C96_grid.tile5.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
C96_grid.tile2.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
grid_spec.nc,input-data-20221101,,,.nc,21966,,NEMSfv3gfs,INPUT,FV3_input_data
C96_grid.tile1.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
C96_grid.tile6.nc,input-data-20221101,96,,.nc,2094935,,NEMSfv3gfs,INPUT,FV3_input_data
ufs-land_C96_init_fields.tile1.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
ufs-land_C96_init_fields.tile5.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
ufs-land_C96_init_fields.tile4.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
ufs-land_C96_init_fields.tile2.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
ufs-land_C96_init_fields.tile6.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
ufs-land_C96_init_fields.tile3.nc,input-data-20221101,96,,.nc,665156,,NEMSfv3gfs,,NOAHMP_IC
topodata_0.9x1.SCRIP.210520_ESMFmesh.nc,input-data-20221101,,,.nc,3547832,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Solr.1999-12.nc,input-data-20221101,,,.nc,259202520,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,input-data-20221101,,,.nc,259202484,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Prec.1999-12.nc,input-data-20221101,,,.nc,259202484,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.SCRIP.210520_ESMFmesh.nc,input-data-20221101,,,.nc,16601532,,NEMSfv3gfs,,DATM_GSWP3_input_data
fv1.9x2.5_141008_ESMFmesh.nc,input-data-20221101,,,.nc,846588,,NEMSfv3gfs,,DATM_GSWP3_input_data
topodata_0.9x1.25_USGS_070110_stream_c151201.nc,input-data-20221101,,,.nc,1992888,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.1999-12.nc,input-data-20221101,,,.nc,1287709152,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.2000-01.nc,input-data-20221101,,,.nc,1287709152,,NEMSfv3gfs,,DATM_GSWP3_input_data
clmforc.GSWP3.c2011.0.5x0.5.Solr.2000-01.nc,input-data-20221101,,,.nc,259202520,,NEMSfv3gfs,,DATM_GSWP3_input_data
C96.vegetation_greenness.tile4.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile2.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile4.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile4.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile1.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile6.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile2.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile2.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile5.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile6.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_greenness.tile6.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile3.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_greenness.tile5.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile1.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile6.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile1.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile1.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile6.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile5.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile3.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile3.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile2.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile5.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile1.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile3.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_color.tile4.nc,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile3.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile4.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile2.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile6.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile3.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_greenness.tile1.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile5.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile1.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile6.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile6.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile3.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile5.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_greenness.tile2.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile3.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile6.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile4.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile5.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile4.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile2.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.facsf.tile1.nc,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile5.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile6.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile5.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.maximum_snow_albedo.tile5.nc,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_greenness.tile3.nc,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.vegetation_type.tile3.nc,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile2.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile4.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.soil_type.tile2.nc,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.slope_type.tile4.nc,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile2.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.snowfree_albedo.tile4.nc,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,C96,FV3_fix_tiled
C96.substrate_temperature.tile1.nc,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,C96,FV3_fix_tiled
oro_C96.mx100.tile1.nc,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,C96,FV3_fix_tiled
ufs_land_restart.2019-12-21_00-00-00.nc,,,,.nc,14111215,,restarts,,
ufs.cpld.lnd.out.2000-01-03-00000.tile5.nc,,,,.nc,11555364,,restarts,,
ufs.cpld.lnd.out.2000-01-03-00000.tile4.nc,,,,.nc,11555364,,restarts,,
ufs_land_restart.2019-12-21_00-00-00.tile2.nc,,,,.nc,11487503,,restarts,,2019
ufs_land_restart.2019-12-21_00-00-00.tile5.nc,,,,.nc,11487503,,restarts,,2019
ufs_land_restart.2019-12-21_00-00-00.tile6.nc,,,,.nc,11487503,,restarts,,2019
ufs_land_restart.2019-12-21_00-00-00.tile4.nc,,,,.nc,11487503,,restarts,,2019
ufs_land_restart.2019-12-21_00-00-00.tile3.nc,,,,.nc,11487503,,restarts,,2019
ufs_land_restart.2019-12-21_00-00-00.tile1.nc,,,,.nc,11487503,,restarts,,2019
ufs.cpld.lnd.out.2000-01-03-00000.tile2.nc,,,,.nc,11555364,,restarts,,
ufs.cpld.lnd.out.2000-01-03-00000.tile1.nc,,,,.nc,11555364,,restarts,,
ufs.cpld.cpl.r.2000-01-03-00000.nc,,,,.nc,13390912,,restarts,,
ufs.cpld.lnd.out.2000-01-03-00000.tile6.nc,,,,.nc,11555364,,restarts,,
ufs.cpld.datm.r.2000-01-03-00000.nc,,,,.nc,18904,,restarts,,
ufs.cpld.lnd.out.2000-01-03-00000.tile3.nc,,,,.nc,11555364,,restarts,,
oro_C96.mx100.tile2.nc,,96,100,.nc,834883,,forcing,,orog_files
oro_C96.mx100.tile4.nc,,96,100,.nc,834883,,forcing,,orog_files
oro_C96.mx100.tile6.nc,,96,100,.nc,834883,,forcing,,orog_files
oro_C96.mx100.tile3.nc,,96,100,.nc,834883,,forcing,,orog_files
oro_C96.mx100.tile5.nc,,96,100,.nc,834883,,forcing,,orog_files
oro_C96.mx100.tile1.nc,,96,100,.nc,834883,,forcing,,orog_files
C96_ERA5_forcing_2021-07-03.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-21.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-06.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-07.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-01.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-04.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-17.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-01.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-29.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-08.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-25.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-17.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-30.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-31.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-28.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-25.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-18.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-16.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-13.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-16.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-21.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-22.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-19.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-04.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-30.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-29.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-06.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-23.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-30.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-11.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-29.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-19.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-18.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-23.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-28.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-25.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-01.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-31.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-19.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-20.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-27.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-23.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-28.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-04.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-23.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-19.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-27.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-15.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2019-12-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-21.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-22.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-30.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-06.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-11.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-02.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-01-14.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-11.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-05.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-26.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-09-24.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-10-04.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-16.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-07.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-03-13.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-13.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-07-29.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-08-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-22.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-18.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-12.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-02-06.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-01.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-06-08.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-11-02.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2020-12-09.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-05-16.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-10.nc,,96,,.nc,12313780,,forcing,C96,datm
C96_ERA5_forcing_2021-04-13.nc,,96,,.nc,12313780,,forcing,C96,datm
